,일자,구분,확진자,확진률,사망자,사망률
1899,2020-09-28,60-69,3760,15.89,44,10.84
1900,2020-09-28,70-79,1897,8.02,132,32.51
1901,2020-09-28,80 이상,965,4.08,205,50.49
1902,2020-09-28,여성,12801,54.1,190,46.8
1903,2020-09-28,남성,10860,45.9,216,53.2
1904,2020-09-29,0-9,573,2.42,0,0.0
1905,2020-09-29,10-19,1301,5.49,0,0.0
1906,2020-09-29,20-29,4754,20.06,0,0.0
1907,2020-09-29,30-39,2888,12.19,2,0.49
1908,2020-09-29,40-49,3158,13.33,4,0.98
1909,2020-09-29,50-59,4395,18.55,19,4.67
1910,2020-09-29,60-69,3764,15.88,44,10.81
1911,2020-09-29,70-79,1897,8.0,133,32.68
1912,2020-09-29,80 이상,969,4.09,205,50.37
1913,2020-09-29,여성,12812,54.06,191,46.93
1914,2020-09-29,남성,10887,45.94,216,53.07
1915,2020-09-30,0-9,578,2.43,0,0.0
1916,2020-09-30,10-19,1306,5.48,0,0.0
1917,2020-09-30,20-29,4762,20.0,0,0.0
1918,2020-09-30,30-39,2908,12.21,2,0.48
1919,2020-09-30,40-49,3178,13.35,4,0.97
1920,2020-09-30,50-59,4421,18.57,19,4.6
1921,2020-09-30,60-69,3782,15.88,44,10.65
1922,2020-09-30,70-79,1906,8.0,136,32.93
1923,2020-09-30,80 이상,971,4.08,208,50.36
1924,2020-09-30,여성,12848,53.96,196,47.46
1925,2020-09-30,남성,10964,46.04,217,52.54
1926,2020-10-01,0-9,584,2.44,0,0.0
1927,2020-10-01,10-19,1310,5.48,0,0.0
1928,2020-10-01,20-29,4769,19.96,0,0.0
1929,2020-10-01,30-39,2917,12.21,2,0.48
1930,2020-10-01,40-49,3192,13.36,4,0.96
1931,2020-10-01,50-59,4434,18.56,19,4.58
1932,2020-10-01,60-69,3795,15.89,44,10.6
1933,2020-10-01,70-79,1913,8.01,138,33.25
1934,2020-10-01,80 이상,975,4.08,208,50.12
1935,2020-10-01,여성,12882,53.92,196,47.23
1936,2020-10-01,남성,11007,46.08,219,52.77
1937,2020-10-02,0-9,587,2.45,0,0.0
1938,2020-10-02,10-19,1316,5.49,0,0.0
1939,2020-10-02,20-29,4775,19.94,0,0.0
1940,2020-10-02,30-39,2927,12.22,2,0.48
1941,2020-10-02,40-49,3198,13.35,4,0.96
1942,2020-10-02,50-59,4445,18.56,19,4.57
1943,2020-10-02,60-69,3808,15.9,44,10.58
1944,2020-10-02,70-79,1917,8.0,138,33.17
1945,2020-10-02,80 이상,979,4.09,209,50.24
1946,2020-10-02,여성,12907,53.89,196,47.12
1947,2020-10-02,남성,11045,46.11,220,52.88
1948,2020-10-03,0-9,588,2.45,0,0.0
1949,2020-10-03,10-19,1317,5.48,0,0.0
1950,2020-10-03,20-29,4781,19.9,0,0.0
1951,2020-10-03,30-39,2940,12.24,2,0.48
1952,2020-10-03,40-49,3209,13.36,4,0.95
1953,2020-10-03,50-59,4456,18.55,19,4.52
1954,2020-10-03,60-69,3824,15.92,44,10.48
1955,2020-10-03,70-79,1930,8.03,141,33.57
1956,2020-10-03,80 이상,982,4.09,210,50.0
1957,2020-10-03,여성,12935,53.84,196,46.67
1958,2020-10-03,남성,11092,46.16,224,53.33
1959,2020-10-04,0-9,588,2.44,0,0.0
1960,2020-10-04,10-19,1321,5.48,0,0.0
1961,2020-10-04,20-29,4785,19.86,0,0.0
1962,2020-10-04,30-39,2949,12.24,2,0.48
1963,2020-10-04,40-49,3222,13.37,4,0.95
1964,2020-10-04,50-59,4464,18.53,19,4.51
1965,2020-10-04,60-69,3836,15.92,45,10.69
1966,2020-10-04,70-79,1938,8.04,141,33.49
1967,2020-10-04,80 이상,988,4.1,210,49.88
1968,2020-10-04,여성,12959,53.79,196,46.56
1969,2020-10-04,남성,11132,46.21,225,53.44
1970,2020-10-05,0-9,588,2.43,0,0.0
1971,2020-10-05,10-19,1324,5.48,0,0.0
1972,2020-10-05,20-29,4802,19.87,0,0.0
1973,2020-10-05,30-39,2958,12.24,2,0.47
1974,2020-10-05,40-49,3230,13.37,4,0.95
1975,2020-10-05,50-59,4476,18.52,19,4.5
1976,2020-10-05,60-69,3850,15.93,46,10.9
1977,2020-10-05,70-79,1944,8.05,141,33.41
1978,2020-10-05,80 이상,992,4.11,210,49.76
1979,2020-10-05,여성,12985,53.74,196,46.45
1980,2020-10-05,남성,11179,46.26,226,53.55
1981,2020-10-06,0-9,593,2.45,0,0.0
1982,2020-10-06,10-19,1332,5.5,0,0.0
1983,2020-10-06,20-29,4828,19.92,0,0.0
1984,2020-10-06,30-39,2966,12.24,2,0.47
1985,2020-10-06,40-49,3232,13.33,4,0.95
1986,2020-10-06,50-59,4487,18.51,19,4.5
1987,2020-10-06,60-69,3859,15.92,46,10.9
1988,2020-10-06,70-79,1948,8.04,141,33.41
1989,2020-10-06,80 이상,994,4.1,210,49.76
1990,2020-10-06,여성,13010,53.67,196,46.45
1991,2020-10-06,남성,11229,46.33,226,53.55
1992,2020-10-07,0-9,594,2.44,0,0.0
1993,2020-10-07,10-19,1334,5.48,0,0.0
1994,2020-10-07,20-29,4836,19.86,0,0.0
1995,2020-10-07,30-39,2979,12.23,2,0.47
1996,2020-10-07,40-49,3242,13.31,4,0.94
1997,2020-10-07,50-59,4515,18.54,19,4.47
1998,2020-10-07,60-69,3890,15.97,46,10.82
1999,2020-10-07,70-79,1964,8.06,141,33.18
2000,2020-10-07,80 이상,999,4.1,213,50.12
2001,2020-10-07,여성,13071,53.67,198,46.59
2002,2020-10-07,남성,11282,46.33,227,53.41
2003,2020-10-08,0-9,600,2.46,0,0.0
2004,2020-10-08,10-19,1339,5.48,0,0.0
2005,2020-10-08,20-29,4842,19.83,0,0.0
2006,2020-10-08,30-39,2986,12.23,2,0.47
2007,2020-10-08,40-49,3251,13.31,4,0.94
2008,2020-10-08,50-59,4527,18.54,20,4.68
2009,2020-10-08,60-69,3901,15.97,46,10.77
2010,2020-10-08,70-79,1974,8.08,141,33.02
2011,2020-10-08,80 이상,1002,4.1,214,50.12
2012,2020-10-08,여성,13101,53.64,198,46.37
2013,2020-10-08,남성,11321,46.36,229,53.63
2014,2020-10-10,0-9,602,2.45,0,0.0
2015,2020-10-10,10-19,1353,5.51,0,0.0
2016,2020-10-10,20-29,4861,19.8,0,0.0
2017,2020-10-10,30-39,3000,12.22,2,0.47
2018,2020-10-10,40-49,3263,13.29,4,0.93
2019,2020-10-10,50-59,4543,18.51,20,4.65
2020,2020-10-10,60-69,3933,16.02,46,10.7
2021,2020-10-10,70-79,1985,8.09,142,33.02
2022,2020-10-10,80 이상,1008,4.11,216,50.23
2023,2020-10-10,여성,13159,53.61,200,46.51
2024,2020-10-10,남성,11389,46.39,230,53.49
2025,2020-10-11,0-9,606,2.46,0,0.0
2026,2020-10-11,10-19,1353,5.5,0,0.0
2027,2020-10-11,20-29,4872,19.8,0,0.0
2028,2020-10-11,30-39,3014,12.25,2,0.46
2029,2020-10-11,40-49,3271,13.29,4,0.93
2030,2020-10-11,50-59,4549,18.49,20,4.63
2031,2020-10-11,60-69,3939,16.01,46,10.65
2032,2020-10-11,70-79,1991,8.09,142,32.87
2033,2020-10-11,80 이상,1011,4.11,218,50.46
2034,2020-10-11,여성,13183,53.58,201,46.53
2035,2020-10-11,남성,11423,46.42,231,53.47
2036,2020-10-12,0-9,614,2.49,0,0.0
2037,2020-10-12,10-19,1355,5.49,0,0.0
2038,2020-10-12,20-29,4891,19.8,0,0.0
2039,2020-10-12,30-39,3033,12.28,2,0.46
2040,2020-10-12,40-49,3287,13.31,4,0.92
2041,2020-10-12,50-59,4561,18.46,20,4.62
2042,2020-10-12,60-69,3950,15.99,47,10.85
2043,2020-10-12,70-79,1999,8.09,142,32.79
2044,2020-10-12,80 이상,1013,4.1,218,50.35
2045,2020-10-12,여성,13224,53.53,202,46.65
2046,2020-10-12,남성,11479,46.47,231,53.35
2047,2020-10-13,0-9,619,2.5,0,0.0
2048,2020-10-13,10-19,1362,5.49,0,0.0
2049,2020-10-13,20-29,4912,19.8,0,0.0
2050,2020-10-13,30-39,3049,12.29,2,0.46
2051,2020-10-13,40-49,3307,13.33,4,0.92
2052,2020-10-13,50-59,4574,18.44,21,4.84
2053,2020-10-13,60-69,3962,15.97,47,10.83
2054,2020-10-13,70-79,2006,8.09,142,32.72
2055,2020-10-13,80 이상,1014,4.09,218,50.23
2056,2020-10-13,여성,13262,53.47,202,46.54
2057,2020-10-13,남성,11543,46.53,232,53.46
2058,2020-10-14,0-9,623,2.5,0,0.0
2059,2020-10-14,10-19,1369,5.5,0,0.0
2060,2020-10-14,20-29,4942,19.86,0,0.0
2061,2020-10-14,30-39,3060,12.29,2,0.46
2062,2020-10-14,40-49,3318,13.33,4,0.91
2063,2020-10-14,50-59,4583,18.41,21,4.79
2064,2020-10-14,60-69,3970,15.95,47,10.73
2065,2020-10-14,70-79,2008,8.07,143,32.65
2066,2020-10-14,80 이상,1016,4.08,221,50.46
2067,2020-10-14,여성,13295,53.42,205,46.8
2068,2020-10-14,남성,11594,46.58,233,53.2
2069,2020-10-15,0-9,628,2.51,0,0.0
2070,2020-10-15,10-19,1372,5.49,0,0.0
2071,2020-10-15,20-29,4955,19.83,0,0.0
2072,2020-10-15,30-39,3070,12.29,2,0.46
2073,2020-10-15,40-49,3326,13.31,4,0.91
2074,2020-10-15,50-59,4588,18.36,21,4.78
2075,2020-10-15,60-69,3983,15.94,47,10.71
2076,2020-10-15,70-79,2019,8.08,143,32.57
2077,2020-10-15,80 이상,1047,4.19,222,50.57
2078,2020-10-15,여성,13373,53.52,206,46.92
2079,2020-10-15,남성,11615,46.48,233,53.08
2080,2020-10-16,0-9,628,2.51,0,0.0
2081,2020-10-16,10-19,1374,5.49,0,0.0
2082,2020-10-16,20-29,4962,19.82,0,0.0
2083,2020-10-16,30-39,3079,12.3,2,0.45
2084,2020-10-16,40-49,3336,13.33,4,0.91
2085,2020-10-16,50-59,4596,18.36,21,4.76
2086,2020-10-16,60-69,3990,15.94,47,10.66
2087,2020-10-16,70-79,2021,8.07,144,32.65
2088,2020-10-16,80 이상,1049,4.19,223,50.57
2089,2020-10-16,여성,13399,53.52,207,46.94
2090,2020-10-16,남성,11636,46.48,234,53.06
2091,2020-10-17,0-9,630,2.51,0,0.0
2092,2020-10-17,10-19,1376,5.48,0,0.0
2093,2020-10-17,20-29,4967,19.78,0,0.0
2094,2020-10-17,30-39,3095,12.33,2,0.45
2095,2020-10-17,40-49,3342,13.31,4,0.9
2096,2020-10-17,50-59,4615,18.38,21,4.74
2097,2020-10-17,60-69,4007,15.96,47,10.61
2098,2020-10-17,70-79,2023,8.06,145,32.73
2099,2020-10-17,80 이상,1053,4.19,224,50.56
2100,2020-10-17,여성,13446,53.55,208,46.95
2101,2020-10-17,남성,11662,46.45,235,53.05
2102,2020-10-18,0-9,632,2.51,0,0.0
2103,2020-10-18,10-19,1380,5.48,0,0.0
2104,2020-10-18,20-29,4979,19.76,0,0.0
2105,2020-10-18,30-39,3109,12.34,2,0.45
2106,2020-10-18,40-49,3355,13.31,4,0.9
2107,2020-10-18,50-59,4637,18.4,21,4.73
2108,2020-10-18,60-69,4022,15.96,47,10.59
2109,2020-10-18,70-79,2031,8.06,146,32.88
2110,2020-10-18,80 이상,1054,4.18,224,50.45
2111,2020-10-18,여성,13488,53.53,209,47.07
2112,2020-10-18,남성,11711,46.47,235,52.93
2113,2020-10-19,0-9,634,2.51,0,0.0
2114,2020-10-19,10-19,1383,5.47,0,0.0
2115,2020-10-19,20-29,4992,19.75,0,0.0
2116,2020-10-19,30-39,3116,12.33,2,0.45
2117,2020-10-19,40-49,3370,13.33,4,0.9
2118,2020-10-19,50-59,4650,18.4,21,4.73
2119,2020-10-19,60-69,4029,15.94,47,10.59
2120,2020-10-19,70-79,2038,8.06,146,32.88
2121,2020-10-19,80 이상,1063,4.21,224,50.45
2122,2020-10-19,여성,13530,53.53,209,47.07
2123,2020-10-19,남성,11745,46.47,235,52.93
2124,2020-10-20,0-9,637,2.51,0,0.0
2125,2020-10-20,10-19,1386,5.47,0,0.0
2126,2020-10-20,20-29,5003,19.75,0,0.0
2127,2020-10-20,30-39,3123,12.33,2,0.45
2128,2020-10-20,40-49,3382,13.35,4,0.89
2129,2020-10-20,50-59,4659,18.39,21,4.7
2130,2020-10-20,60-69,4038,15.94,49,10.96
2131,2020-10-20,70-79,2041,8.06,146,32.66
2132,2020-10-20,80 이상,1064,4.2,225,50.34
2133,2020-10-20,여성,13550,53.49,210,46.98
2134,2020-10-20,남성,11783,46.51,237,53.02
2135,2020-10-21,0-9,638,2.51,0,0.0
2136,2020-10-21,10-19,1390,5.47,0,0.0
2137,2020-10-21,20-29,5015,19.73,0,0.0
2138,2020-10-21,30-39,3135,12.33,2,0.44
2139,2020-10-21,40-49,3400,13.37,4,0.89
2140,2020-10-21,50-59,4674,18.38,21,4.67
2141,2020-10-21,60-69,4052,15.94,49,10.89
2142,2020-10-21,70-79,2046,8.05,147,32.67
2143,2020-10-21,80 이상,1074,4.22,227,50.44
2144,2020-10-21,여성,13594,53.47,210,46.67
2145,2020-10-21,남성,11830,46.53,240,53.33
2146,2020-10-22,0-9,640,2.51,0,0.0
2147,2020-10-22,10-19,1392,5.45,0,0.0
2148,2020-10-22,20-29,5033,19.7,0,0.0
2149,2020-10-22,30-39,3145,12.31,2,0.44
2150,2020-10-22,40-49,3418,13.38,4,0.88
2151,2020-10-22,50-59,4698,18.39,21,4.64
2152,2020-10-22,60-69,4078,15.97,50,11.04
2153,2020-10-22,70-79,2057,8.05,147,32.45
2154,2020-10-22,80 이상,1082,4.24,229,50.55
2155,2020-10-22,여성,13654,53.45,212,46.8
2156,2020-10-22,남성,11889,46.55,241,53.2
2157,2020-10-23,0-9,642,2.5,0,0.0
2158,2020-10-23,10-19,1403,5.46,0,0.0
2159,2020-10-23,20-29,5043,19.62,0,0.0
2160,2020-10-23,30-39,3163,12.31,2,0.44
2161,2020-10-23,40-49,3439,13.38,4,0.88
2162,2020-10-23,50-59,4724,18.38,21,4.62
2163,2020-10-23,60-69,4104,15.97,52,11.43
2164,2020-10-23,70-79,2070,8.06,147,32.31
2165,2020-10-23,80 이상,1110,4.32,229,50.33
2166,2020-10-23,여성,13736,53.45,213,46.81
2167,2020-10-23,남성,11962,46.55,242,53.19
2168,2020-10-24,0-9,649,2.52,0,0.0
2169,2020-10-24,10-19,1410,5.47,0,0.0
2170,2020-10-24,20-29,5055,19.61,0,0.0
2171,2020-10-24,30-39,3167,12.29,2,0.44
2172,2020-10-24,40-49,3448,13.38,4,0.88
2173,2020-10-24,50-59,4738,18.38,21,4.6
2174,2020-10-24,60-69,4118,15.98,53,11.6
2175,2020-10-24,70-79,2075,8.05,147,32.17
2176,2020-10-24,80 이상,1115,4.33,230,50.33
2177,2020-10-24,여성,13772,53.43,213,46.61
2178,2020-10-24,남성,12003,46.57,244,53.39
2179,2020-10-25,0-9,654,2.53,0,0.0
2180,2020-10-25,10-19,1417,5.48,0,0.0
2181,2020-10-25,20-29,5065,19.6,0,0.0
2182,2020-10-25,30-39,3175,12.29,2,0.44
2183,2020-10-25,40-49,3459,13.39,4,0.88
2184,2020-10-25,50-59,4747,18.37,21,4.6
2185,2020-10-25,60-69,4124,15.96,53,11.6
2186,2020-10-25,70-79,2076,8.04,147,32.17
2187,2020-10-25,80 이상,1119,4.33,230,50.33
2188,2020-10-25,여성,13807,53.44,213,46.61
2189,2020-10-25,남성,12029,46.56,244,53.39
2190,2020-10-26,0-9,660,2.54,0,0.0
2191,2020-10-26,10-19,1422,5.48,0,0.0
2192,2020-10-26,20-29,5086,19.6,0,0.0
2193,2020-10-26,30-39,3200,12.33,2,0.44
2194,2020-10-26,40-49,3481,13.41,4,0.88
2195,2020-10-26,50-59,4769,18.37,21,4.6
2196,2020-10-26,60-69,4135,15.93,53,11.6
2197,2020-10-26,70-79,2079,8.01,147,32.17
2198,2020-10-26,80 이상,1123,4.33,230,50.33
2199,2020-10-26,여성,13875,53.46,213,46.61
2200,2020-10-26,남성,12080,46.54,244,53.39
2201,2020-10-27,0-9,662,2.54,0,0.0
2202,2020-10-27,10-19,1429,5.49,0,0.0
2203,2020-10-27,20-29,5098,19.58,0,0.0
2204,2020-10-27,30-39,3209,12.32,2,0.43
2205,2020-10-27,40-49,3495,13.42,4,0.87
2206,2020-10-27,50-59,4792,18.4,21,4.57
2207,2020-10-27,60-69,4148,15.93,53,11.52
2208,2020-10-27,70-79,2083,8.0,149,32.39
2209,2020-10-27,80 이상,1127,4.33,231,50.22
2210,2020-10-27,여성,13922,53.46,214,46.52
2211,2020-10-27,남성,12121,46.54,246,53.48
2212,2020-10-28,0-9,666,2.55,0,0.0
2213,2020-10-28,10-19,1435,5.49,0,0.0
2214,2020-10-28,20-29,5118,19.57,0,0.0
2215,2020-10-28,30-39,3224,12.33,2,0.43
2216,2020-10-28,40-49,3512,13.43,4,0.87
2217,2020-10-28,50-59,4812,18.4,21,4.56
2218,2020-10-28,60-69,4157,15.9,53,11.5
2219,2020-10-28,70-79,2090,7.99,150,32.54
2220,2020-10-28,80 이상,1132,4.33,231,50.11
2221,2020-10-28,여성,13979,53.47,214,46.42
2222,2020-10-28,남성,12167,46.53,247,53.58
2223,2020-10-29,0-9,677,2.58,0,0.0
2224,2020-10-29,10-19,1443,5.49,0,0.0
2225,2020-10-29,20-29,5131,19.53,0,0.0
2226,2020-10-29,30-39,3247,12.36,2,0.43
2227,2020-10-29,40-49,3526,13.42,4,0.87
2228,2020-10-29,50-59,4829,18.38,21,4.55
2229,2020-10-29,60-69,4182,15.92,53,11.47
2230,2020-10-29,70-79,2100,7.99,151,32.68
2231,2020-10-29,80 이상,1136,4.32,231,50.0
2232,2020-10-29,여성,14036,53.43,215,46.54
2233,2020-10-29,남성,12235,46.57,247,53.46
2234,2020-10-30,0-9,685,2.6,0,0.0
2235,2020-10-30,10-19,1452,5.5,0,0.0
2236,2020-10-30,20-29,5147,19.51,0,0.0
2237,2020-10-30,30-39,3263,12.37,2,0.43
2238,2020-10-30,40-49,3545,13.44,4,0.86
2239,2020-10-30,50-59,4845,18.36,21,4.54
2240,2020-10-30,60-69,4202,15.93,53,11.45
2241,2020-10-30,70-79,2106,7.98,152,32.83
2242,2020-10-30,80 이상,1140,4.32,231,49.89
2243,2020-10-30,여성,14096,53.42,215,46.44
2244,2020-10-30,남성,12289,46.58,248,53.56
2245,2020-10-31,0-9,692,2.61,0,0.0
2246,2020-10-31,10-19,1457,5.5,0,0.0
2247,2020-10-31,20-29,5168,19.49,0,0.0
2248,2020-10-31,30-39,3285,12.39,2,0.43
2249,2020-10-31,40-49,3563,13.44,4,0.86
2250,2020-10-31,50-59,4871,18.37,21,4.53
2251,2020-10-31,60-69,4209,15.88,53,11.42
2252,2020-10-31,70-79,2116,7.98,152,32.76
2253,2020-10-31,80 이상,1150,4.34,232,50.0
2254,2020-10-31,여성,14159,53.41,216,46.55
2255,2020-10-31,남성,12352,46.59,248,53.45
2256,2020-11-01,0-9,697,2.62,0,0.0
2257,2020-11-01,10-19,1471,5.52,0,0.0
2258,2020-11-01,20-29,5192,19.49,0,0.0
2259,2020-11-01,30-39,3304,12.4,2,0.43
2260,2020-11-01,40-49,3588,13.47,4,0.86
2261,2020-11-01,50-59,4884,18.34,21,4.51
2262,2020-11-01,60-69,4224,15.86,53,11.37
2263,2020-11-01,70-79,2122,7.97,152,32.62
2264,2020-11-01,80 이상,1153,4.33,234,50.21
2265,2020-11-01,여성,14223,53.4,217,46.57
2266,2020-11-01,남성,12412,46.6,249,53.43
2267,2020-11-02,0-9,704,2.63,0,0.0
2268,2020-11-02,10-19,1480,5.54,0,0.0
2269,2020-11-02,20-29,5201,19.46,0,0.0
2270,2020-11-02,30-39,3317,12.41,2,0.43
2271,2020-11-02,40-49,3607,13.49,4,0.85
2272,2020-11-02,50-59,4894,18.31,21,4.49
2273,2020-11-02,60-69,4242,15.87,53,11.32
2274,2020-11-02,70-79,2130,7.97,152,32.48
2275,2020-11-02,80 이상,1157,4.33,236,50.43
2276,2020-11-02,여성,14272,53.39,219,46.79
2277,2020-11-02,남성,12460,46.61,249,53.21
2278,2020-11-03,0-9,707,2.64,0,0.0
2279,2020-11-03,10-19,1485,5.54,0,0.0
2280,2020-11-03,20-29,5218,19.47,0,0.0
2281,2020-11-03,30-39,3330,12.42,2,0.42
2282,2020-11-03,40-49,3614,13.48,4,0.85
2283,2020-11-03,50-59,4909,18.31,22,4.66
2284,2020-11-03,60-69,4253,15.87,54,11.44
2285,2020-11-03,70-79,2133,7.96,153,32.42
2286,2020-11-03,80 이상,1158,4.32,237,50.21
2287,2020-11-03,여성,14304,53.36,223,47.25
2288,2020-11-03,남성,12503,46.64,249,52.75
2289,2020-11-04,0-9,709,2.63,0,0.0
2290,2020-11-04,10-19,1488,5.53,0,0.0
2291,2020-11-04,20-29,5237,19.45,0,0.0
2292,2020-11-04,30-39,3355,12.46,2,0.42
2293,2020-11-04,40-49,3625,13.46,4,0.84
2294,2020-11-04,50-59,4929,18.31,22,4.64
2295,2020-11-04,60-69,4276,15.88,54,11.39
2296,2020-11-04,70-79,2143,7.96,154,32.49
2297,2020-11-04,80 이상,1163,4.32,238,50.21
2298,2020-11-04,여성,14361,53.34,225,47.47
2299,2020-11-04,남성,12564,46.66,249,52.53
2300,2020-11-05,0-9,710,2.62,0,0.0
2301,2020-11-05,10-19,1496,5.53,0,0.0
2302,2020-11-05,20-29,5258,19.44,0,0.0
2303,2020-11-05,30-39,3375,12.48,2,0.42
2304,2020-11-05,40-49,3648,13.49,4,0.84
2305,2020-11-05,50-59,4958,18.33,22,4.63
2306,2020-11-05,60-69,4291,15.86,54,11.37
2307,2020-11-05,70-79,2149,7.94,154,32.42
2308,2020-11-05,80 이상,1165,4.31,239,50.32
2309,2020-11-05,여성,14423,53.32,225,47.37
2310,2020-11-05,남성,12627,46.68,250,52.63
2311,2020-11-06,0-9,719,2.64,0,0.0
2312,2020-11-06,10-19,1503,5.53,0,0.0
2313,2020-11-06,20-29,5282,19.42,0,0.0
2314,2020-11-06,30-39,3399,12.5,2,0.42
2315,2020-11-06,40-49,3674,13.51,4,0.84
2316,2020-11-06,50-59,4986,18.33,22,4.62
2317,2020-11-06,60-69,4304,15.83,54,11.34
2318,2020-11-06,70-79,2158,7.94,155,32.56
2319,2020-11-06,80 이상,1170,4.3,239,50.21
2320,2020-11-06,여성,14494,53.3,225,47.27
2321,2020-11-06,남성,12701,46.7,251,52.73
2322,2020-11-06,0-9,719,2.64,0,0.0
2323,2020-11-06,10-19,1503,5.53,0,0.0
2324,2020-11-06,20-29,5282,19.42,0,0.0
2325,2020-11-06,30-39,3399,12.5,2,0.42
2326,2020-11-06,40-49,3674,13.51,4,0.84
2327,2020-11-06,50-59,4986,18.33,22,4.62
2328,2020-11-06,60-69,4304,15.83,54,11.34
2329,2020-11-06,70-79,2158,7.94,155,32.56
2330,2020-11-06,80 이상,1170,4.3,239,50.21
2331,2020-11-06,여성,14494,53.3,225,47.27
2332,2020-11-06,남성,12701,46.7,251,52.73
2333,2020-11-07,0-9,720,2.64,0,0.0
2334,2020-11-07,10-19,1508,5.53,0,0.0
2335,2020-11-07,20-29,5292,19.4,0,0.0
2336,2020-11-07,30-39,3414,12.51,2,0.42
2337,2020-11-07,40-49,3695,13.54,4,0.84
2338,2020-11-07,50-59,4995,18.31,22,4.61
2339,2020-11-07,60-69,4317,15.82,54,11.32
2340,2020-11-07,70-79,2169,7.95,155,32.49
2341,2020-11-07,80 이상,1174,4.3,240,50.31
2342,2020-11-07,여성,14533,53.27,226,47.38
2343,2020-11-07,남성,12751,46.73,251,52.62
2344,2020-11-08,0-9,723,2.64,0,0.0
2345,2020-11-08,10-19,1512,5.51,0,0.0
2346,2020-11-08,20-29,5301,19.33,0,0.0
2347,2020-11-08,30-39,3440,12.54,2,0.42
2348,2020-11-08,40-49,3717,13.55,4,0.84
2349,2020-11-08,50-59,5017,18.29,22,4.6
2350,2020-11-08,60-69,4341,15.83,54,11.3
2351,2020-11-08,70-79,2193,8.0,155,32.43
2352,2020-11-08,80 이상,1183,4.31,241,50.42
2353,2020-11-08,여성,14600,53.23,226,47.28
2354,2020-11-08,남성,12827,46.77,252,52.72
2355,2020-11-09,0-9,726,2.63,0,0.0
2356,2020-11-09,10-19,1518,5.51,0,0.0
2357,2020-11-09,20-29,5316,19.29,0,0.0
2358,2020-11-09,30-39,3465,12.58,2,0.42
2359,2020-11-09,40-49,3736,13.56,4,0.83
2360,2020-11-09,50-59,5036,18.28,22,4.58
2361,2020-11-09,60-69,4356,15.81,54,11.25
2362,2020-11-09,70-79,2208,8.01,156,32.5
2363,2020-11-09,80 이상,1192,4.33,242,50.42
2364,2020-11-09,여성,14669,53.24,228,47.5
2365,2020-11-09,남성,12884,46.76,252,52.5
2366,2020-11-10,0-9,729,2.64,0,0.0
2367,2020-11-10,10-19,1527,5.52,0,0.0
2368,2020-11-10,20-29,5337,19.3,0,0.0
2369,2020-11-10,30-39,3478,12.58,2,0.41
2370,2020-11-10,40-49,3748,13.55,4,0.82
2371,2020-11-10,50-59,5049,18.26,22,4.54
2372,2020-11-10,60-69,4371,15.81,55,11.34
2373,2020-11-10,70-79,2217,8.02,157,32.37
2374,2020-11-10,80 이상,1197,4.33,245,50.52
2375,2020-11-10,여성,14713,53.21,230,47.42
2376,2020-11-10,남성,12940,46.79,255,52.58
2377,2020-11-11,0-9,735,2.64,0,0.0
2378,2020-11-11,10-19,1532,5.51,0,0.0
2379,2020-11-11,20-29,5357,19.27,0,0.0
2380,2020-11-11,30-39,3496,12.58,2,0.41
2381,2020-11-11,40-49,3760,13.53,4,0.82
2382,2020-11-11,50-59,5070,18.24,22,4.52
2383,2020-11-11,60-69,4401,15.83,56,11.5
2384,2020-11-11,70-79,2236,8.04,157,32.24
2385,2020-11-11,80 이상,1212,4.36,246,50.51
2386,2020-11-11,여성,14791,53.21,230,47.23
2387,2020-11-11,남성,13008,46.79,257,52.77
2388,2020-11-12,0-9,741,2.65,0,0.0
2389,2020-11-12,10-19,1545,5.53,0,0.0
2390,2020-11-12,20-29,5383,19.26,0,0.0
2391,2020-11-12,30-39,3519,12.59,2,0.41
2392,2020-11-12,40-49,3782,13.54,4,0.82
2393,2020-11-12,50-59,5095,18.23,22,4.52
2394,2020-11-12,60-69,4416,15.8,56,11.5
2395,2020-11-12,70-79,2245,8.03,157,32.24
2396,2020-11-12,80 이상,1216,4.35,246,50.51
2397,2020-11-12,여성,14857,53.17,230,47.23
2398,2020-11-12,남성,13085,46.83,257,52.77
2399,2020-11-13,0-9,748,2.66,0,0.0
2400,2020-11-13,10-19,1554,5.52,0,0.0
2401,2020-11-13,20-29,5411,19.23,0,0.0
2402,2020-11-13,30-39,3538,12.58,2,0.41
2403,2020-11-13,40-49,3805,13.53,4,0.82
2404,2020-11-13,50-59,5137,18.26,22,4.51
2405,2020-11-13,60-69,4444,15.8,56,11.48
2406,2020-11-13,70-79,2262,8.04,157,32.17
2407,2020-11-13,80 이상,1234,4.39,247,50.61
2408,2020-11-13,여성,14957,53.17,231,47.34
2409,2020-11-13,남성,13176,46.83,257,52.66
2410,2020-11-14,0-9,760,2.68,0,0.0
2411,2020-11-14,10-19,1568,5.53,0,0.0
2412,2020-11-14,20-29,5447,19.22,0,0.0
2413,2020-11-14,30-39,3570,12.6,2,0.41
2414,2020-11-14,40-49,3834,13.53,4,0.81
2415,2020-11-14,50-59,5173,18.25,23,4.67
2416,2020-11-14,60-69,4476,15.8,57,11.59
2417,2020-11-14,70-79,2269,8.01,157,31.91
2418,2020-11-14,80 이상,1241,4.38,249,50.61
2419,2020-11-14,여성,15057,53.13,232,47.15
