,일자,지역,사망자,확진자,전일대비,격리해제,격리중,지역발생,해외유입,10만명당
91,2020-03-09,경남,0,83,0,0,0,0,0,2.5
92,2020-03-09,경북,14,1107,26,0,0,0,0,41.6
93,2020-03-09,전남,0,4,0,0,0,0,0,0.2
94,2020-03-09,전북,0,7,0,0,0,0,0,0.4
95,2020-03-09,충남,0,102,4,0,0,0,0,4.8
96,2020-03-09,충북,0,25,1,0,0,0,0,1.6
97,2020-03-09,강원,1,28,1,0,0,0,0,1.8
98,2020-03-09,경기,1,152,11,0,0,0,0,1.1
99,2020-03-09,세종,0,6,3,0,0,0,0,1.8
100,2020-03-09,울산,0,24,0,0,0,0,0,2.1
101,2020-03-09,대전,0,19,1,0,0,0,0,1.3
102,2020-03-09,광주,0,15,2,0,0,0,0,0.0
103,2020-03-09,인천,0,9,0,0,0,0,0,0.3
104,2020-03-09,대구,35,5571,190,0,0,0,0,228.6
105,2020-03-09,부산,0,96,-1,0,0,0,0,2.8
106,2020-03-09,서울,0,130,10,0,0,0,0,1.3
107,2020-03-09,합계,51,7382,248,0,0,0,0,14.2
108,2020-03-10,제주,0,4,0,0,0,0,0,0.6
109,2020-03-10,경남,0,83,0,0,0,0,0,2.47
110,2020-03-10,경북,14,1117,10,0,0,0,0,41.95
111,2020-03-10,전남,0,4,0,0,0,0,0,0.21
112,2020-03-10,전북,0,7,0,0,0,0,0,0.39
113,2020-03-10,충남,0,104,2,0,0,0,0,4.9
114,2020-03-10,충북,0,25,0,0,0,0,0,1.56
115,2020-03-10,강원,1,28,0,0,0,0,0,1.82
116,2020-03-10,경기,1,163,11,0,0,0,0,1.23
117,2020-03-10,세종,0,8,2,0,0,0,0,2.34
118,2020-03-10,울산,0,24,0,0,0,0,0,2.09
119,2020-03-10,대전,0,18,-1,0,0,0,0,1.22
120,2020-03-10,광주,0,15,0,0,0,0,0,1.03
121,2020-03-10,인천,0,13,4,0,0,0,0,0.44
122,2020-03-10,대구,38,5663,92,0,0,0,0,232.42
123,2020-03-10,부산,0,96,0,0,0,0,0,2.81
124,2020-03-10,서울,0,141,11,0,0,0,0,1.45
125,2020-03-10,합계,54,7513,131,0,0,0,0,14.49
126,2020-03-11,제주,0,4,0,0,0,0,0,0.6
127,2020-03-11,경남,0,84,1,0,0,0,0,2.5
128,2020-03-11,경북,14,1135,18,0,0,0,0,42.63
129,2020-03-11,전남,0,4,0,0,0,0,0,0.21
130,2020-03-11,전북,0,7,0,0,0,0,0,0.39
131,2020-03-11,충남,0,112,8,0,0,0,0,5.28
