,이름,주소,가격,셀프,상표,구,lat,lng,거리
93,지에스칼텍스(주)남서울주유소,서울 서초구 나루터로 83 (잠원동),1422.0,N,GS칼텍스,서초구,37.5161552826768,127.018859270173,10.400681888627194
94,서초꽃마을주유소,서울 서초구 반포대로 69 (서초동),1425.0,N,GS칼텍스,서초구,37.4864727516209,127.009679178115,10.747329665098748
95,신반포주유소,서울 서초구 사평대로 94 (반포동),1428.0,N,SK에너지,서초구,37.4983886833497,126.994998605875,8.990548604677105
96,현대오일뱅크(주)직영 방배현대주유소,서울 서초구 동작대로 182 (방배동),1429.0,N,현대오일뱅크,서초구,37.4927534366922,126.983325076533,8.388174709769418
97,현대오일뱅크㈜직영 반포셀프주유소,서울 서초구 사평대로 12,1429.0,Y,현대오일뱅크,서초구,37.4983544158997,126.98577963148,8.264466137488043
98,대신석유(주)대우주유소,서울 서초구 양재대로 173 (양재동),1439.0,Y,SK에너지,서초구,37.4628348082628,127.037147595122,14.182834536161545
99,반포그린주유소,서울 서초구 서초중앙로 239 (반포동),1442.0,N,GS칼텍스,서초구,37.503204616056,127.010876972267,10.08594283956863
100,대성산업(주)직영강남주유소,서울 서초구 반포대로 284 (반포동),1442.0,N,GS칼텍스,서초구,37.5046512165389,127.001827980942,9.279788656066598
101,대성산업(주)직영 터미널(고속)주유소,서울 서초구 신반포로 222 (반포동),1442.0,N,GS칼텍스,서초구,37.5068860321425,127.00872532633,9.777667948160072
102,현대오일뱅크(주)직영 서초제일주유소,서울 서초구 사임당로 116 (서초동),1462.0,N,현대오일뱅크,서초구,37.4905850808047,127.022588286106,11.564696766475484
103,경일석유(주)직영 삼방주유소,서울 서초구 사평대로 364 (서초동),1497.0,N,GS칼텍스,서초구,37.5037327208746,127.023195609704,11.100740238034884
104,방배동주유소,서울 서초구 효령로 29 (방배동),1497.0,N,SK에너지,서초구,37.4781641318381,126.987763194218,9.654567784225755
105,크로바주유소,서울 서초구 효령로 327 (서초동),1539.0,N,SK에너지,서초구,37.4863801903062,127.019957824568,11.555192702010249
106,현대오일뱅크㈜직영 사평로주유소,서울 서초구 사평대로 350 (서초동),1682.0,N,현대오일뱅크,서초구,37.503281185781,127.02150866453,10.97356229607716
107,대신석유㈜서원주유소,서울 서초구 반포대로 142 (서초동),1878.0,N,SK에너지,서초구,37.492730944688,127.007571181715,10.262666865785246
108,중앙주유소,서울 서초구 양재동 바우뫼로 219 (양재동),1878.0,N,S-OIL,서초구,37.481559699114,127.042231529687,13.558109247345152
109,선우상사Q엔느,서울 서초구 방배로 66 (방배동),1897.0,N,SK에너지,서초구,37.4806926277812,126.998516306835,10.245722576123534
110,KLP제2주유소,서울 성동구 동일로 249 (송정동),1345.0,Y,현대오일뱅크,성동구,37.5540124113316,127.070433103392,14.961250168180614
111,(주)서울에너지 직영,서울 성동구 천호대로 324 (용답동),1352.0,Y,S-OIL,성동구,37.5642339425388,127.055593318567,13.909727146057667
112,정호주유소,서울 성동구 고산자로 307 (마장동),1378.0,N,자가상표,성동구,37.5672020506377,127.036537420429,12.38769748488105
113,SK에너지(주) 군자동주유소,서울 성동구 천호대로 446 (용답동),1394.0,N,SK에너지,성동구,37.560534180112,127.068301931583,14.907332808916049
114,지에스칼텍스㈜ 도루코주유소,서울 성동구 아차산로 180,1395.0,Y,GS칼텍스,성동구,37.5420274264746,127.063423424356,14.195675900248496
115,아이콘주유소,서울 성동구 고산자로 273 (도선동),1418.0,N,S-OIL,성동구,37.5641283119055,127.035920071533,12.234892882122935
116,현대오일뱅크(주) 성동셀프주유소,서울 성동구 마장로 311 (마장동),1430.0,Y,현대오일뱅크,성동구,37.5670168870809,127.04372064792,12.98569803615956
117,삼우주유소,서울 성동구 천호대로 392,1448.0,N,SK에너지,성동구,37.5614150648805,127.062310521717,14.411975658899493
118,kh에너지(주)성수만세주유소,서울 성동구 왕십리로 109,1455.0,Y,SK에너지,성동구,37.5474976267809,127.044350756633,12.582140150791002
119,SK에너지(주) 성수주유소,서울 성동구 뚝섬로 352 (성수동1가),1455.0,N,SK에너지,성동구,37.5400047737799,127.049900172954,12.991223700865094
120,경진주유소,서울 성동구 고산자로 348 (마장동),1488.0,N,SK에너지,성동구,37.5705452309376,127.03813195036,12.639370004020932
121,SK세원2주유소,서울 성동구 광나루로 184 (성수동1가),1490.0,N,SK에너지,성동구,37.5508602334419,127.050436462226,13.165549592931887
