,이름,주소,가격,셀프,상표,구
308,우림주유소,서울 중랑구 용마산로 487 (망우동),1327.0,Y,GS칼텍스,중랑구
309,면목SELF주유소,서울 중랑구 동일로 627 (면목동),1327.0,Y,SK에너지,중랑구
310,지에스칼텍스㈜ 대원주유소,서울 중랑구 동일로 600,1328.0,Y,GS칼텍스,중랑구
311,망우주유소(self),서울 중랑구 망우로 311 (상봉동),1369.0,Y,GS칼텍스,중랑구
312,(주)태영 구도일주유소 한인,서울 중랑구 망우로 170 (상봉동),1369.0,Y,S-OIL,중랑구
313,신내주유소,서울 중랑구 용마산로 705 (신내동),1373.0,Y,SK에너지,중랑구
314,(주)기지에너지,서울 중랑구 용마산로 716 (신내동),1375.0,N,S-OIL,중랑구
315,용마로주유소,서울 중랑구 용마산로 309 (면목동),1375.0,Y,SK에너지,중랑구
316,재원에너지㈜ 범아주유소,서울 중랑구 동일로 881 (묵동),1388.0,N,S-OIL,중랑구
317,지에스칼텍스㈜ 소망주유소,서울 중랑구 망우로 475,1398.0,Y,GS칼텍스,중랑구
318,신일셀프주유소,서울 중랑구 상봉로 58 (망우동),1399.0,Y,SK에너지,중랑구
319,현대오일뱅크㈜직영 중랑교셀프주유소,서울 중랑구 망우로 229 (중화동),1418.0,Y,현대오일뱅크,중랑구
320,강서오곡셀프주유소,서울 강서구 벌말로 254 (오곡동),1297.0,Y,SK에너지,강서구
321,뉴신정주유소,서울 강서구 곰달래로 207(화곡동),1308.0,N,알뜰주유소,강서구
322,화곡역주유소,서울특별시 강서구  강서로 154 (화곡동),1308.0,Y,알뜰주유소,강서구
323,방화주유소,서울 강서구 방화동로 58-2 (방화동),1313.0,N,SK에너지,강서구
324,스카이주유소,서울 강서구 개화동로 457 (방화동),1315.0,Y,S-OIL,강서구
325,행촌에너지 공항주유소,서울 강서구 개화동로 420 (개화동),1316.0,Y,현대오일뱅크,강서구
326,유턴주유소,서울 강서구 남부순환로 57,1317.0,Y,알뜰주유소,강서구
327,개화주유소,서울 강서구 양천로 57,1337.0,Y,SK에너지,강서구
328,KH에너지(주)직영 KH외발산주유소,서울 강서구 방화대로 30,1339.0,Y,SK에너지,강서구
329,(주)한진 김포공항주유소,서울 강서구 하늘길 259,1344.0,Y,S-OIL,강서구
330,목화주유소,서울 강서구 국회대로 251 (화곡동),1356.0,Y,SK에너지,강서구
331,현대오일뱅크 등촌주유소,서울 강서구 등촌로 189 (등촌동),1357.0,N,현대오일뱅크,강서구
332,강서열린점,서울 강서구 등촌로 213 (등촌동),1367.0,N,GS칼텍스,강서구
333,현대오일뱅크㈜직영 강서제일셀프주유소,서울 강서구 화곡로 273 (화곡동),1367.0,Y,현대오일뱅크,강서구
334,지에스칼텍스㈜ 경인고속주유소,서울 강서구 국회대로 225 (화곡동),1386.0,Y,GS칼텍스,강서구
335,화곡현대주유소,서울 강서구 강서로 151 (화곡동),1387.0,Y,SK에너지,강서구
336,대성석유(주)방화대성주유소,서울 강서구 양천로 176,1395.0,Y,GS칼텍스,강서구
337,우장산주유소,서울 강서구 강서로 292 (내발산동),1395.0,N,SK에너지,강서구
338,대성석유(주)직영관문주유소,서울 강서구 공항대로 314,1395.0,N,GS칼텍스,강서구
339,대성석유(주) 마곡대성주유소,서울 강서구 강서로 457,1395.0,Y,GS칼텍스,강서구
340,하이웨이주유소,서울특별시 강서구 공항대로 432(화곡동),1397.0,Y,S-OIL,강서구
341,신화곡주유소,서울 강서구 국회대로 71,1398.0,Y,S-OIL,강서구
342,현대오일뱅크㈜직영 에어포트주유소,서울 강서구 개화동로 519 (방화동),1409.0,N,현대오일뱅크,강서구
343,세원제1주유소,서울 강서구 양천로 311 (가양동),1410.0,Y,SK에너지,강서구
344,현대오일뱅크 양화교주유소,서울 강서구 공항대로 653 (염창동),1414.0,N,현대오일뱅크,강서구
345,KH에너지(주)직영 가양주유소,서울 강서구 강서로 498 (가양동),1415.0,N,SK에너지,강서구
346,대성주유소,서울 강서구 강서로 472 (등촌동),1415.0,N,GS칼텍스,강서구
347,현대오일뱅크(주) 가양주유소,서울 강서구  양천로 391 (가양동),1419.0,N,현대오일뱅크,강서구
348,(주)한진 김포공항제2주유소,서울 강서구 하늘길 112,1454.0,Y,S-OIL,강서구
349,박물관주유소,서울 강서구 양천로53길 97 (가양동),1455.0,N,GS칼텍스,강서구
350,코리나(주)청룡주유소,서울 강서구 양천로 576 (등촌동),1478.0,N,SK에너지,강서구
351,참솔에너지,서울 강서구 벌말로 281 (오곡동),1535.0,Y,S-OIL,강서구
352,염창동주유소,서울 강서구 양천로 720 (염창동),1688.0,N,SK에너지,강서구
353,유림주유소,서울 관악구 신림로 176 (신림동),1373.0,N,S-OIL,관악구
354,(주)연우에너지 신관주유소,서울 관악구 신림로 290 (신림동) 신관주유소,1374.0,Y,GS칼텍스,관악구
355,(주)엠오티이엔지 직영 삼화주유소,서울 관악구 보라매로 41 (봉천동),1379.0,N,알뜰주유소,관악구
356,현대주유소,서울 관악구 난곡로 108 (신림동),1399.0,N,현대오일뱅크,관악구
357,대양석유(주)직영 보라매주유소,서울 관악구  보라매로 26 (봉천동),1399.0,Y,SK에너지,관악구
358,지에스칼텍스㈜ 난곡주유소,서울 관악구 난곡로 206,1399.0,N,GS칼텍스,관악구
359,SK에너지(주)직영 대공원주유소,서울 관악구 과천대로 921 (남현동),1409.0,N,SK에너지,관악구
360,현대오일뱅크(주)직영 관악셀프주유소,서울 관악구 남부순환로 1520 (신림동),1419.0,Y,현대오일뱅크,관악구
361,남현주유소,서울 관악구 남부순환로 2014 (남현동),1429.0,Y,현대오일뱅크,관악구
362,서일석유(주)락성주유소,서울 관악구 남부순환로 1920 (봉천동),1429.0,Y,GS칼텍스,관악구
363,관악시몬주유소,서울특별시 관악구 남부순환로 1753 (봉천동),1437.0,N,S-OIL,관악구
364,SK에너지(주) 신봉천,서울 관악구 남부순환로 1880 (봉천동),1439.0,N,SK에너지,관악구
365,(주)한유에너지행운셀프주유소,서울 관악구 남부순환로 1883 (봉천동),1465.0,Y,SK에너지,관악구
366,문성골주유소,서울 관악구 문성로 97 (신림동),1468.0,N,현대오일뱅크,관악구
367,한규상사 유정주유소,서울 관악구 남부순환로 1691 (봉천동),1477.0,N,SK에너지,관악구
368,CJ대한통운㈜ 신림주유소,서울 관악구 남부순환로 1515 (신림동),1494.0,N,GS칼텍스,관악구
369,태양주유소,서울 광진구 동일로 345 (중곡동),1325.0,N,GS칼텍스,광진구
370,정해네트웍스(주)일진주유소,서울 광진구 동일로 413 (중곡동),1327.0,Y,S-OIL,광진구
371,평안주유소,서울 광진구 천호대로 630 (능동),1347.0,N,알뜰주유소,광진구
372,현대오일뱅크(주)직영 능동주유소,서울 광진구 천호대로 584 (능동),1352.0,Y,현대오일뱅크,광진구
373,대원주유소,서울 광진구 용마산로 122 (중곡동),1375.0,N,S-OIL,광진구
374,용마주유소,서울 광진구 용마산로 68 (중곡동),1375.0,N,GS칼텍스,광진구
375,현대오일뱅크(주)직영 중곡현대주유소,서울 광진구 동일로 435 (중곡동),1376.0,N,현대오일뱅크,광진구
376,현대오일뱅크(주) 중원주유소,서울 광진구 동일로 398 (중곡동),1376.0,N,현대오일뱅크,광진구
377,(주)장수주유소,서울 광진구 동일로 266 (군자동),1387.0,N,SK에너지,광진구
378,구의스타주유소,서울 광진구 자양로 103,1390.0,N,GS칼텍스,광진구
379,현대오일뱅크㈜직영 장호셀프주유소,서울 광진구 자양로37 (자양동),1416.0,Y,현대오일뱅크,광진구
380,삼호주유소,서울 광진구 천호대로 809 (광장동),1418.0,Y,S-OIL,광진구
381,강평주유소,서울 광진구 아차산로 616 (광장동),1418.0,N,SK에너지,광진구
382,현대오일뱅크㈜직영 대명셀프주유소,서울 광진구 광나루로 460 (화양동),1418.0,Y,현대오일뱅크,광진구
383,대성산업(주)구의주유소,서울 광진구 광나루로 570 (구의동),1419.0,N,GS칼텍스,광진구
384,자양주유소,서울 광진구 아차산로 298 (자양동),1438.0,N,SK에너지,광진구
385,동서울주유소,서울 광진구 강변역로 10 (구의동),1449.0,N,GS칼텍스,광진구
386,처음처럼주유소,서울 구로구 오리로 1299 (궁동),1319.0,N,S-OIL,구로구
387,구인주유소,서울 구로구 경인로 558 (구로동),1324.0,N,SK에너지,구로구
388,항동주유소,서울 구로구 서해안로 2154 (항동),1329.0,Y,S-OIL,구로구
389,(주)한미석유구로그린주유소,서울 구로구 구로중앙로 76 (구로동),1329.0,Y,GS칼텍스,구로구
390,서울석유(주)풀페이주유소,서울 구로구 경인로 41 (온수동),1329.0,N,SK에너지,구로구
391,신성주유소,서울 구로구 구로동로 187 (구로제2동),1329.0,Y,현대오일뱅크,구로구
392,대성산업(주)디큐브주유소,서울 구로구 경인로 650 (신도림동),1329.0,N,GS칼텍스,구로구
393,근린공원주유소,서울 구로구 고척로 199 (고척동),1337.0,N,S-OIL,구로구
394,(주)새서울석유 대원셀프주유소,서울 구로구 개봉로 7,1348.0,Y,현대오일뱅크,구로구
395,개봉주유소,서울 구로구 고척로 115 (개봉동),1359.0,Y,현대오일뱅크,구로구
396,현대오일뱅크㈜직영 신오류주유소,서울 구로구 경인로 161 (오류동),1384.0,N,현대오일뱅크,구로구
397,동선주유소,서울 구로구 경인로 150 (오류동),1387.0,N,GS칼텍스,구로구
398,JHC에너지,서울 구로구 시흥대로 539 (구로동),1397.0,N,알뜰주유소,구로구
399,시몬주유소,서울 구로구 부일로 871,1397.0,N,S-OIL,구로구
400,영진주유소,서울 구로구 구로동로 20 (가리봉동),1397.0,N,S-OIL,구로구
401,정은주유소,서울 구로구 경인로 407 (고척동),1397.0,N,현대오일뱅크,구로구
402,SK에너지(주)직영 개봉동주유소,서울 구로구 경인로 290 (개봉동),1398.0,N,SK에너지,구로구
403,SK구로주유소,서울 구로구 구일로 94 (구로동),1398.0,N,SK에너지,구로구
404,현대오일뱅크(주)직영 금사주유소,부산 금정구 반송로 420 (금사동),1399.0,Y,현대오일뱅크,금정구
405, 현대오일뱅크㈜직영 구로셀프주유소,서울 구로구 시흥대로 531,1408.0,Y,현대오일뱅크,구로구
406,현대오일뱅크(주)직영 신구로주유소,서울 구로구 가마산로 293 (구로동),1468.0,N,현대오일뱅크,구로구
407,동아주유소,서울 구로구  도림로 91 (구로동),1598.0,N,S-OIL,구로구
408,구로주유소,서울 구로구 구로동로 137 (구로동),1898.0,N,GS칼텍스,구로구
409,구광주유소,서울특별시 금천구  서부샛길 674 (가산동),1335.0,N,S-OIL,금천구
410,명보주유소,서울 금천구 시흥대로 377 (독산동),1364.0,N,알뜰주유소,금천구
411,(주)진우에너지 백운주유소,서울 금천구 시흥대로 282 (독산동),1364.0,Y,GS칼텍스,금천구
