광역시도,시도,20~39세계,20~39세남자,20~39세여자,65세 이상계,65세 이상남자,65세 이상여자,인구수계,인구수남자,인구수여자,소멸 비율,소멸 위기 지역
경북, 경산시,70122,37166,32956,39828,17051,22777,255939,127793,128146,0.8274580696997087,False
경북, 경주시,51111,27491,23620,50746,21311,29435,239382,119114,120268,0.46545540535214597,True
경북, 고령군,4501,2427,2074,8819,3763,5056,29019,14552,14467,0.23517405601542124,True
경북, 구미시,116063,61478,54585,35323,15195,20128,396338,201545,194793,1.545310420972171,False
경북, 군위군,2621,1480,1141,8360,3623,4737,20861,10491,10370,0.13648325358851673,True
경북, 김천시,27713,14640,13073,29105,12087,17018,129665,63978,65687,0.4491668098264903,True
경북, 문경시,10167,5401,4766,19266,7931,11335,64832,31547,33285,0.24737880203467247,True
경북, 봉화군,3568,1884,1684,10308,4427,5881,28857,14309,14548,0.16336825766395033,True
경북, 상주시,14788,8153,6635,27712,11216,16496,90827,44325,46502,0.23942696304849884,True
경북, 성주군,6021,3358,2663,11890,5175,6715,38006,19264,18742,0.22396972245584526,True
경북, 안동시,30402,15974,14428,34890,14881,20009,148890,73525,75365,0.41352823158498137,True
경북, 영덕군,4489,2403,2086,12502,4869,7633,33715,15906,17809,0.16685330347144456,True
경북, 영양군,1865,986,879,5674,2374,3300,15272,7531,7741,0.15491716602044414,True
경북, 영주시,17125,9245,7880,25317,10830,14487,97309,47843,49466,0.31125330805387685,True
경북, 영천시,17393,9422,7971,25552,10802,14750,92731,46027,46704,0.3119520976831559,True
경북, 예천군,8502,4323,4179,15336,6416,8920,50742,24733,26009,0.2724960876369327,True
경북, 울릉군,1506,874,632,1972,904,1068,8200,4436,3764,0.3204868154158215,True
경북, 울진군,7500,4191,3309,12405,4936,7469,44272,22032,22240,0.2667472793228537,True
경북, 의성군,5802,3205,2597,19316,8030,11286,47133,22823,24310,0.13444812590598468,True
경북, 청도군,5033,2762,2271,14261,5971,8290,38218,18446,19772,0.1592454947058411,True
경북, 청송군,3120,1796,1324,8408,3632,4776,23031,11451,11580,0.15746907706945765,True
경북, 칠곡군,26524,14151,12373,15881,6654,9227,108254,55417,52837,0.7791071091241105,False
경북, 포항시,211782,111632,100150,153664,69712,83952,952014,476100,475914,0.651746668054977,False
광주, 광산구,108402,53657,54745,33965,14191,19774,392634,195701,196933,1.6118062711614898,False
광주, 남구,52095,25452,26643,34372,15104,19268,209133,100399,108734,0.7751367392063307,False
광주, 동구,26870,13869,13001,19994,8991,11003,95738,47381,48357,0.6502450735220566,False
광주, 북구,115023,58085,56938,58933,26052,32881,422264,208100,214164,0.9661479985746526,False
광주, 서구,77733,38131,39602,38366,16885,21481,289981,141373,148608,1.032216024605119,False
대구, 남구,36403,18344,18059,31219,13191,18028,141016,67453,73563,0.5784618341394664,False
대구, 달서구,142081,72376,69705,72740,31767,40973,549980,269246,280734,0.9582760516909541,False
대구, 달성군,68262,35250,33012,27906,12261,15645,243000,122037,120963,1.18297140399914,False
대구, 동구,82204,42216,39988,60517,25970,34547,328007,160082,167925,0.6607730059322174,False
