,광역시도,시도,20~39세계,20~39세여자,65세 이상계,인구수계,인구수남자,인구수여자,소멸 비율,소멸 위기 지역,ID
64,경남, 함안군,10996,5216,13955,60079,29988,30091,0.3737728412755285,True,함안
65,경남, 함양군,4844,2274,11805,35496,16980,18516,0.1926302414231258,True,함양
66,경남, 합천군,5071,2298,15547,40085,19085,21000,0.14780986685534184,True,합천
67,경북, 경산시,70122,32956,39828,255939,127793,128146,0.8274580696997087,False,경산
68,경북, 경주시,51111,23620,50746,239382,119114,120268,0.465455405352146,True,경주
69,경북, 고령군,4501,2074,8819,29019,14552,14467,0.23517405601542124,True,고령
70,경북, 구미시,116063,54585,35323,396338,201545,194793,1.5453104209721709,False,구미
71,경북, 군위군,2621,1141,8360,20861,10491,10370,0.13648325358851673,True,군위
72,경북, 김천시,27713,13073,29105,129665,63978,65687,0.4491668098264903,True,김천
73,경북, 문경시,10167,4766,19266,64832,31547,33285,0.2473788020346725,True,문경
74,경북, 봉화군,3568,1684,10308,28857,14309,14548,0.16336825766395033,True,봉화
75,경북, 상주시,14788,6635,27712,90827,44325,46502,0.23942696304849884,True,상주
76,경북, 성주군,6021,2663,11890,38006,19264,18742,0.2239697224558453,True,성주
77,경북, 안동시,30402,14428,34890,148890,73525,75365,0.41352823158498137,True,안동
78,경북, 영덕군,4489,2086,12502,33715,15906,17809,0.16685330347144456,True,영덕
79,경북, 영양군,1865,879,5674,15272,7531,7741,0.15491716602044414,True,영양
80,경북, 영주시,17125,7880,25317,97309,47843,49466,0.31125330805387685,True,영주
81,경북, 영천시,17393,7971,25552,92731,46027,46704,0.3119520976831559,True,영천
82,경북, 예천군,8502,4179,15336,50742,24733,26009,0.2724960876369327,True,예천
83,경북, 울릉군,1506,632,1972,8200,4436,3764,0.3204868154158215,True,울릉
84,경북, 울진군,7500,3309,12405,44272,22032,22240,0.2667472793228537,True,울진
85,경북, 의성군,5802,2597,19316,47133,22823,24310,0.13444812590598468,True,의성
86,경북, 청도군,5033,2271,14261,38218,18446,19772,0.1592454947058411,True,청도
87,경북, 청송군,3120,1324,8408,23031,11451,11580,0.15746907706945765,True,청송
88,경북, 칠곡군,26524,12373,15881,108254,55417,52837,0.7791071091241105,False,칠곡
89,경북, 포항시,211782,100150,153664,952014,476100,475914,0.651746668054977,False,포항
90,광주, 광산구,108402,54745,33965,392634,195701,196933,1.6118062711614898,False,광주 광산
91,광주, 남구,52095,26643,34372,209133,100399,108734,0.7751367392063307,False,광주 남구
92,광주, 동구,26870,13001,19994,95738,47381,48357,0.6502450735220566,False,광주 동구
93,광주, 북구,115023,56938,58933,422264,208100,214164,0.9661479985746526,False,광주 북구
94,광주, 서구,77733,39602,38366,289981,141373,148608,1.032216024605119,False,광주 서구
95,대구, 남구,36403,18059,31219,141016,67453,73563,0.5784618341394664,False,대구 남구
96,대구, 달서구,142081,69705,72740,549980,269246,280734,0.958276051690954,False,대구 달서
97,대구, 달성군,68262,33012,27906,243000,122037,120963,1.18297140399914,False,대구 달성
98,대구, 동구,82204,39988,60517,328007,160082,167925,0.6607730059322174,False,대구 동구
99,대구, 북구,113047,54402,56992,425333,210525,214808,0.954555025266704,False,대구 북구
100,대구, 서구,39397,18019,34817,167446,83008,84438,0.5175345377258236,False,대구 서구
101,대구, 수성구,88787,44780,60804,405234,195256,209978,0.7364647062693244,False,대구 수성
102,대구, 중구,21428,10915,14236,72483,34690,37793,0.7667181792638381,False,대구 중구
103,대전, 대덕구,43677,20568,24547,170822,85844,84978,0.8379027987126736,False,대전 대덕
104,대전, 동구,59947,28471,37784,221955,111143,110812,0.7535200084691933,False,대전 동구
105,대전, 서구,134767,67755,54211,463747,226805,236942,1.2498385936433565,False,대전 서구
106,대전, 유성구,103746,49545,29084,336354,170005,166349,1.7035139595653968,False,대전 유성
107,대전, 중구,54807,27469,41168,227181,110975,116206,0.6672415468324913,False,대전 중구
108,부산, 강서구,35490,17626,13407,120451,61117,59334,1.314686357872753,False,부산 강서
109,부산, 금정구,59601,28544,43238,228110,111149,116961,0.6601600444053841,False,부산 금정
110,부산, 기장군,37473,18881,22967,154532,75833,78699,0.822092567596987,False,부산 기장
111,부산, 남구,65648,32292,48766,262984,127898,135086,0.6621826682524711,False,부산 남구
112,부산, 동구,18886,9163,20349,81089,39342,41747,0.4502923976608187,True,부산 동구
113,부산, 동래구,61364,30706,43883,254552,123015,131537,0.6997242668003555,False,부산 동래
114,부산, 부산진구,93807,47780,62545,339223,162539,176684,0.7639299704212966,False,부산 부산진
115,부산, 북구,69489,33946,42923,276503,135427,141076,0.7908580481327028,False,부산 북구
116,부산, 사상구,54928,26362,33971,209051,104170,104881,0.7760148361838038,False,부산 사상
117,부산, 사하구,77401,37266,51920,304746,150249,154497,0.7177580893682589,False,부산 사하
118,부산, 서구,23642,11902,23618,100101,48104,51997,0.5039376746549242,False,부산 서구
119,부산, 수영구,44258,22650,33380,164784,77880,86904,0.6785500299580587,False,부산 수영
120,부산, 연제구,50757,25805,35307,197985,94732,103253,0.7308748973291416,False,부산 연제
121,부산, 영도구,22954,10617,27636,109458,53656,55802,0.3841728180633956,True,부산 영도
122,부산, 중구,9289,4458,9567,38566,18759,19807,0.4659767952336156,True,부산 중구
