,일자,대륙,국가,확진자,사망자,사망률
497,2020-11-21,아메리카,도미니카연방,72,0,0.0
498,2020-11-21,아메리카,세인트빈센트그레나딘,83,0,0.0
499,2020-11-21,아메리카,세인트루시아,203,2,0.9852216748
500,2020-11-21,아메리카,그레나다,36,0,0.0
501,2020-11-21,아메리카,앤티가바부다,139,4,2.8776978417
502,2020-11-21,아메리카,바베이도스,253,7,2.7667984189
503,2020-11-21,아메리카,바하마,7323,163,2.225863717
504,2020-11-21,아메리카,아이티,9208,232,2.5195482189
505,2020-11-21,아메리카,트리니다드토바고,6180,113,1.8284789644
506,2020-11-21,아메리카,자메이카,10088,235,2.3295003965
507,2020-11-21,아메리카,쿠바,7725,131,1.6957928802
508,2020-11-21,아메리카,도미니카공화국,136183,2301,1.6896382074
509,2020-11-21,아메리카,니카라구아,4583,159,3.4693432249
510,2020-11-21,아메리카,벨리즈,4958,100,2.0169423154
511,2020-11-21,아메리카,엘살바도르,36965,1061,2.8702826998
512,2020-11-21,아메리카,코스타리카,127012,1588,1.2502755645
513,2020-11-21,아메리카,과테말라,117066,4050,3.4595868996
514,2020-11-21,아메리카,온두라스,103488,2839,2.7433132343
515,2020-11-21,아메리카,파나마,149833,2907,1.9401600448
516,2020-11-21,아메리카,멕시코,1015071,99528,9.8050284167
517,2020-11-21,아메리카,캐나다,311109,11186,3.5955243982
518,2020-11-21,아메리카,미국,11413788,248571,2.1778133604
519,2020-11-21,중동,예멘,2072,605,29.198841698
520,2020-11-21,중동,알제리,71652,2224,3.1038910288
521,2020-11-21,중동,아랍에미리트,155254,544,0.3503935486
522,2020-11-21,중동,이스라엘,325776,2737,0.8401478316
523,2020-11-21,중동,튀니지,83772,2541,3.0332330611
524,2020-11-21,중동,시리아,6991,363,5.1923902159
525,2020-11-21,중동,사우디아라비아,354527,5729,1.6159559074
526,2020-11-21,중동,카타르,136649,235,0.1719734502
527,2020-11-21,중동,오만,121360,1365,1.1247528015
528,2020-11-21,중동,모로코,311554,5090,1.6337456749
529,2020-11-21,중동,리비아,76006,1062,1.3972581112
530,2020-11-21,중동,레바논,111946,868,0.7753738409
531,2020-11-21,중동,쿠웨이트,138822,859,0.6187780034
532,2020-11-21,중동,요르단,169396,2053,1.2119530567
533,2020-11-21,중동,이라크,529226,11834,2.2360957322
534,2020-11-21,중동,이집트,111955,6508,5.8130498861
