구별,강간,강도,살인,절도,폭력,강간 검거율,강도 검거율,살인 검거율,절도 검거율,폭력 검거율
종로구,0.2569444444444444,0.4285714285714286,0.25,0.3325688073394495,0.352506162695152,480.25210084033614,114.28571428571428,125.0,70.56105610561056,90.87415946205572
중구,0.18229166666666663,0.3571428571428571,0.08333333333333333,0.6477064220183487,0.28677074774034517,58.97435897435898,83.33333333333334,50.0,47.68392370572207,84.96357960457857
용산구,0.3159722222222222,0.14285714285714285,0.16666666666666669,0.09587155963302751,0.33360723089564503,87.13235294117648,133.33333333333331,100.0,54.454454454454456,89.53831041257368
성동구,0.07465277777777776,0.5714285714285714,0.4166666666666667,0.08256880733944949,0.06984387838948236,72.18045112781954,111.11111111111111,83.33333333333334,52.680412371134025,87.2309899569584
광진구,0.3177083333333333,0.3571428571428571,0.25,0.4977064220183486,0.2584223500410846,78.02197802197803,83.33333333333334,125.0,53.76,85.53696708041014
동대문구,0.13541666666666663,0.6428571428571428,0.4166666666666667,0.3399082568807339,0.30936729663106,85.11904761904762,90.0,100.0,54.01698236446767,92.71623672230652
중랑구,0.08333333333333331,0.21428571428571427,0.7499999999999999,0.40183486238532107,0.5036976170912079,78.26086956521739,125.0,100.0,54.50180072028812,86.0
성북구,0.14930555555555552,0.14285714285714285,0.16666666666666669,0.13394495412844032,0.15981922760887435,73.86363636363636,100.0,100.0,67.56007393715342,90.26658400495971
강북구,0.14930555555555552,0.14285714285714285,0.4166666666666667,0.20137614678899085,0.4930156121610517,82.38636363636364,66.66666666666666,100.0,54.027664768104145,91.006600660066
도봉구,0.0,0.2857142857142857,0.0,0.0,0.0,92.22222222222223,100.0,100.0,49.87341772151899,82.84313725490196
노원구,0.16319444444444442,0.14285714285714285,0.25,0.3247706422018348,0.5094494658997536,85.86956521739131,100.0,100.0,45.460614152202936,85.95779220779221
은평구,0.18055555555555552,0.0,0.16666666666666669,0.35550458715596334,0.366885784716516,83.50515463917526,100.0,100.0,62.42811501597444,87.71846953235712
서대문구,0.14756944444444442,0.2857142857142857,0.08333333333333333,0.19999999999999996,0.12777321281840592,88.0,100.0,50.0,48.939641109298535,82.08469055374593
마포구,0.703125,0.07142857142857142,0.08333333333333333,0.6422018348623854,0.38167625308134756,84.24242424242424,100.0,100.0,41.87214611872146,85.09057129586624
양천구,0.0642361111111111,0.07142857142857142,0.4166666666666667,0.3151376146788991,0.15529991783073127,88.18897637795276,100.0,100.0,42.924847664184156,85.51810237203496
강서구,0.375,0.14285714285714285,0.5833333333333333,0.5779816513761468,0.5476581758422351,83.98692810457517,133.33333333333331,112.5,52.53658536585366,85.8818928431756
구로구,0.2361111111111111,0.14285714285714285,0.7499999999999999,0.51651376146789,0.5456039441248973,73.00884955752213,133.33333333333331,90.0,50.36534446764092,84.1692789968652
금천구,0.109375,0.6428571428571428,0.4166666666666667,0.16834862385321103,0.2280197206244865,82.35294117647058,60.0,100.0,53.15471045808125,89.3760539629005
영등포구,0.46180555555555547,0.14285714285714285,0.7499999999999999,0.7426605504587157,0.7469186524239934,67.13483146067416,100.0,100.0,44.333748443337484,81.09796186719264
동작구,0.27951388888888884,0.0,0.25,0.24678899082568806,0.2432210353327855,43.82470119521912,100.0,50.0,43.59939759036144,82.76431718061674
관악구,0.5520833333333333,0.6428571428571428,0.9999999999999999,0.6573394495412844,0.5957271980279376,82.1078431372549,110.00000000000001,76.92307692307693,48.80791722896986,88.59386686611818
서초구,0.9131944444444444,0.4285714285714286,0.3333333333333333,0.6788990825688074,0.5834018077239113,66.88311688311688,71.42857142857143,100.0,49.25110132158591,83.58547655068078
강남구,1.0,0.2857142857142857,0.3333333333333333,1.0,0.9999999999999999,84.38438438438438,120.0,60.0,45.08417508417508,86.35866593767085
송파구,0.3177083333333333,0.6428571428571428,0.49999999999999994,0.7458715596330275,0.7263763352506162,84.24908424908425,100.0,114.28571428571428,42.05298013245033,84.72593582887701
강동구,0.15625,1.0,0.4166666666666667,0.39449541284403666,0.385784716516023,86.11111111111111,93.33333333333333,83.33333333333334,54.96969696969697,86.63892741562644
